Reference, Value, Footprint, Datasheet
"C8","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C10","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C11","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"J2","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J1","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"C1","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C7","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C4","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C5","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C6","100n","Capacitor_SMD:C_0805_2012Metric","~"
"U15","74LS175","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS175"
"R12","10K","Resistor_SMD:R_0805_2012Metric","~"
"U13","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"U2","74LS02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02"
"U1","74LS02","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02"
"U18","74LS165","Package_SO:SO-16_3.9x9.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/sn74ls165a.pdf"
"R2","10K","Resistor_SMD:R_0805_2012Metric","~"
"R13","10K","Resistor_SMD:R_0805_2012Metric","~"
"U4","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"U3","74LS74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","74xx/74hc_hct74.pdf"
"U6","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"R5","10K","Resistor_SMD:R_0805_2012Metric","~"
"R4","10K","Resistor_SMD:R_0805_2012Metric","~"
"R15","10K","Resistor_SMD:R_0805_2012Metric","~"
"J3","LIGHT_PEN","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
"J4","CRT_SIGNALS","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"U14","74LS244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"R1","10K","Resistor_SMD:R_0805_2012Metric","~"
"R6","1800","Resistor_SMD:R_0805_2012Metric","~"
"R8","2000","Resistor_SMD:R_0805_2012Metric","~"
"R10","470","Resistor_SMD:R_0805_2012Metric","~"
"R11","470","Resistor_SMD:R_0805_2012Metric","~"
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"U17","74LS163","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"R14","10K","Resistor_SMD:R_0805_2012Metric","~"
"X1","SG-7050CAN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG7050CAN&lang=en"
"U9","74LS163","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS163"
"R7","10","Resistor_SMD:R_0805_2012Metric","~"
"R3","optional","Resistor_SMD:R_0805_2012Metric","~"
"U12","74LS374","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS374"
"Q2","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R9","100","Resistor_SMD:R_0805_2012Metric","~"
"R16","100","Resistor_SMD:R_0805_2012Metric","~"
"Q3","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"C12","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C14","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C15","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C16","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C17","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C18","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C19","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C20","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C21","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C22","100n","Capacitor_SMD:C_0805_2012Metric","~"
"J6","Conn_Coaxial","wilson-z80:AV-5"," ~"
