Reference, Value, Footprint, Datasheet
"J3","TRS80W-header","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"M1","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M2","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M3","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"M4","3mm-mounting-hole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
"J2","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J1","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"C8","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C21","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C20","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C11","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C15","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C18","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C3","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"J5","Floppy-header","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical",""
"U2","74LS245","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245"
"U4","WD2793","Package_DIP:DIP-40_W15.24mm_Socket",""
"U1","WD1771","Package_DIP:DIP-40_W15.24mm_Socket",""
"U3","74LS640","Package_DIP:DIP-20_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS245"
"R1","10K","Resistor_SMD:R_0805_2012Metric","~"
"R2","10K","Resistor_SMD:R_0805_2012Metric","~"
"U6","74LS06","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS06"
"U7","74LS157","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS157"
"R3","10K","Resistor_SMD:R_0805_2012Metric","~"
"U5","ATF22V10C","Package_DIP:DIP-24_W7.62mm_Socket",""
"U8","74LS06","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS06"
"U9","74LS123","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS123"
"U10","74LS175","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS175"
"JP1","SIDE","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"U12","74LS273","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS273"
"R6","4K7","Resistor_SMD:R_0805_2012Metric","~"
"R4","20K","Resistor_SMD:R_0805_2012Metric","~"
"C1","200p","Capacitor_SMD:C_0805_2012Metric","~"
"R5","4K7","Resistor_SMD:R_0805_2012Metric","~"
"U11","74LS244","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"J4","Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"R7","200K","Resistor_SMD:R_0805_2012Metric","~"
"C2","33uF","Capacitor_SMD:C_0805_2012Metric","~"
"R8","4K7","Resistor_SMD:R_0805_2012Metric","~"
