Reference, Value, Footprint, Datasheet
C21,100n,Capacitor_SMD:C_0805_2012Metric,~
C20,100n,Capacitor_SMD:C_0805_2012Metric,~
C9,100n,Capacitor_SMD:C_0805_2012Metric,~
C11,100n,Capacitor_SMD:C_0805_2012Metric,~
C13,100n,Capacitor_SMD:C_0805_2012Metric,~
C15,100n,Capacitor_SMD:C_0805_2012Metric,~
C18,100n,Capacitor_SMD:C_0805_2012Metric,~
C5,100n,Capacitor_SMD:C_0805_2012Metric,~
C4,100n,Capacitor_SMD:C_0805_2012Metric,~
C2,100n,Capacitor_SMD:C_0805_2012Metric,~
C1,100n,Capacitor_SMD:C_0805_2012Metric,~
C8,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
C3,470uF,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,~
JP2,EXMEM,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
JP1,ISOLATE,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
J2,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J1,Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J4,TRS-80,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
J3,TRS80W-header,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,
M1,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M2,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M3,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
M4,3mm-mounting-hole,MountingHole:MountingHole_3.2mm_M3_DIN965,
U2,74LS244,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/ds/symlink/sn74ls244.pdf
U4,74LS244,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/ds/symlink/sn74ls244.pdf
U5,74LS244,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/ds/symlink/sn74ls244.pdf
U1,74LS245,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS245
U3,ATF22V10C,Package_DIP:DIP-24_W7.62mm_Socket,
R2,R,Resistor_SMD:R_0805_2012Metric,~
R1,R,Resistor_SMD:R_0805_2012Metric,~
R3,R,Resistor_SMD:R_0805_2012Metric,~
R4,R,Resistor_SMD:R_0805_2012Metric,~
R5,R,Resistor_SMD:R_0805_2012Metric,~
U7,HPDL1414,wilson-z80:DIP-24_W15.24mm_Socket,
U8,HPDL1414,wilson-z80:DIP-24_W15.24mm_Socket,
U6,HPDL1414,wilson-z80:DIP-24_W15.24mm_Socket,
U9,HPDL1414,wilson-z80:DIP-24_W15.24mm_Socket,
